"","name_ganz","Geldgebende","Ertrag_2018_CHF","LastN.x","Betrag_CHF","Vorname","Titel","Funktion","Fakultät"
"1","Aguzzi, Adriano","Synapsis",1e+05,"Aguzzi",2e+05,"Adriano","Dr. med.","Ord. Professor für Neuropathologie","MEF"
"2","Alos-Ferrer, Carlos","Deutsche Forschungsgemeinschaft",91600,"Alos-Ferrer",215577.6,"Carlos","Dr.","Ord. Professor für Entscheidungs- und Neuroökonomische Theorie, Nomis Professur für Entscheidungs- und Neuroökonomische Theorie","WWF"
"3","Alos-Ferrer, Carlos","Deutsche Forschungsgemeinschaft",86800,"Alos-Ferrer",241729.6,"Carlos","Dr.","Ord. Professor für Entscheidungs- und Neuroökonomische Theorie, Nomis Professur für Entscheidungs- und Neuroökonomische Theorie","WWF"
"4","Alós-Ferrer, Carlos","NOMIS Stiftung",6e+05,"Alós-Ferrer",6e+05,"",NA,NA,"WWF"
"5","Altermatt, Florian","Bundesamt für Umwelt BAFU",150000,"Altermatt",150000,"Florian","Dr.","Ausserord. Professor für Aquatische Ökologie","MNF"
"6","Altmeyer, Matthias","Stiftung Krebsforschung Schweiz",120400,"Altmeyer",361300,"",NA,NA,"VSF"
"7","Bassler, Dirk","Insel Gruppe AG",0,"Bassler",1e+05,"Dirk","Dr.","Ausserord. Professor für Neonatologie","MEF"
"8","Bassler, Dirk","Schweizerische Gesellschaft für Neonatologie",175900,"Bassler",175900,"Dirk","Dr.","Ausserord. Professor für Neonatologie","MEF"
"9","Bassler, Dirk","Stanley Thomas Johnson Stiftung (via Schweizerische Akademie der Medizinischen Wissenschaften SAMW)",0,"Bassler",171759,"Dirk","Dr.","Ausserord. Professor für Neonatologie","MEF"
"10","Bassler, Dirk","Familie Larsson-Rosenquist Stiftung (via UZH Foundation)",650000,"Bassler",2e+07,"Dirk","Dr.","Ausserord. Professor für Neonatologie","MEF"
"11","Baumgartner, Matthias","Anonym",73750,"Baumgartner",147500,"Matthias","Dr. med.","Ord. Professor für Stoffwechselkrankheiten","MEF"
"12","Becher, Burkhard","Roche",50000,"Becher",174000,"Burkhard","Dr.","Ord. Professor für Experimentelle Immunologie","MEF"
"13","Becher, Burkhard","Stiftung Krebsforschung Schweiz",55800,"Becher",334900,"Burkhard","Dr.","Ord. Professor für Experimentelle Immunologie","MEF"
"14","Berger, Wolfgang","Iten-Kohaut-Stiftung (via USZ)",50000,"Berger",1e+05,"Wolfgang","Dr. rer. nat.","Ord. Professor für Medizinische Molekulargenetik","MEF"
"15","Bettschart-Wolfensberger, Regula","Anonym",1e+05,"Bettschart-Wolfensberger",2e+05,"Regula","Dr.","Ausserord. Professorin für Veterinäranästhesiologie","VSF"
"16","Beuschlein, Felix","PHILHUMAN STIFTUNG",61540,"Beuschlein",187620,"Felix","Dr.","Ord. Professor für Endokrinologie, Diabetologie und Stoffwechsel","MEF"
"17","Beuschlein, Felix","Vontobel-Stiftung",60000,"Beuschlein",180000,"Felix","Dr.","Ord. Professor für Endokrinologie, Diabetologie und Stoffwechsel","MEF"
"18","Beuschlein, Felix","Shire International GmbH",30125,"Beuschlein",129778,"Felix","Dr.","Ord. Professor für Endokrinologie, Diabetologie und Stoffwechsel","MEF"
"19","Biller-Andorno, Nikola","SNIS",65572,"Biller-Andorno",163931,"Nikola","Dr. med., Dr. phil.","Ord. Professorin für Biomedizinische Ethik","MEF"
"20","Biller-Andorno, Nikola","Stanley Thomas Johnson Stiftung (via Schweizerische Akademie der Medizinischen Wissenschaften SAMW)",0,"Biller-Andorno",150000,"Nikola","Dr. med., Dr. phil.","Ord. Professorin für Biomedizinische Ethik","MEF"
"21","Bischoff-Ferrari, Heike A.","Age-Stiftung",40000,"Bischoff-Ferrari",130000,"Heike A.","Dr. med.","Ord. Professorin für Geriatrie und Altersforschung","MEF"
"22","Bischoff-Ferrari, Heike A.","Vifor SA",150000,"Bischoff-Ferrari",6e+05,"Heike A.","Dr. med.","Ord. Professorin für Geriatrie und Altersforschung","MEF"
"23","Bodenmiller, Bernd","Roche",149466,"Bodenmiller",796536,"Bernd","Dr.","Ausserord. Professor für Quantitative Zellbiologie","MNF"
"24","Bodenmiller, Bernd","Roche",149879,"Bodenmiller",796536,"Bernd","Dr.","Ausserord. Professor für Quantitative Zellbiologie","MNF"
"25","Bollwein, Heinrich","Stiftung Pro Pferd",70000,"Bollwein",140000,"Heinrich","Dr.","Ord. Professor für Reproduktionsmedizin","VSF"
"26","Böttger, Erik C.","National Institutes of Health (NIH) (via St. Jude Children's Research Hospital)",0,"Böttger",202000,"Erik C.","Dr. med.","Ord. Professor für Medizinische Mikrobiologie","MEF"
"27","Brenøe, Anne A.","Larsson-Rosenquist Stiftung",233333.333333333,"Brenøe",233333.333333333,"",NA,NA,"WWF"
"28","Buch, Thorsten","Kommission für Technologie und Innovation KTI",140045,"Buch",175057,"Thorsten","Dr.","Ord. Professor für Labortierkunde","VSF"
"29","Buch, Thorsten","Stiftung Pro Pferd",150000,"Buch",150000,"Thorsten","Dr.","Ord. Professor für Labortierkunde","VSF"
"30","Caflisch, Amedeo","Peter und Traudl Engelhorn Stiftung",147337,"Caflisch",196450,"Amedeo","Dr. sc. nat.","Ord. Professor für Computergestützte Strukturbiologie","MNF"
"31","Camici, Giovanni G.","Sheikh Khalifa / Stiftung für Herz- und Kreislaufforschung",207000,"Camici",207000,"",NA,NA,"MEF"
"32","Canelli, Florencia","Staatssekretariat für Bildung, Forschung und Innovation SBFI",420000,"Canelli",745508,"Florencia","Dr.","Ord. Professorin für Experimentalphysik","MNF"
"33","Casaburi, Lorenzo","Excellence Foundation Zurich for Economic and Social Research",2e+05,"Casaburi",2e+05,"Lorenzo","Dr.","Assistenzprofessor für Entwicklungsökonomie, Stiftungsprofessur","WWF"
"34","Chesney, Marc","G+B Schwyzer Stiftung",2e+05,"Chesney",2e+05,"Marc","Dr.","Ord. Professor für Quantitative Finance","WWF"
"35","Clavien, Pierre-Alain","Helmut Horten Stiftung (via UZH Foundation)",1e+05,"Clavien",2e+05,"Pierre-Alain","Dr. med.","Ord. Professor für Viszeral- und Transplantationschirurgie","MEF"
"36","Clavien, Pierre-Alain","Promedica Stiftung",1e+05,"Clavien",3e+05,"Pierre-Alain","Dr. med.","Ord. Professor für Viszeral- und Transplantationschirurgie","MEF"
"37","Criblez, Lucien","Staatssekretariat für Bildung, Forschung und Innovation SBFI",67000,"Criblez",334983,"Lucien","Dr. phil.","Ord. Professor für Pädagogik mit Schwerpunkt Historische Bildungsforschung und Steuerung des Bildungssystems","PHF"
"38","Curt, Armin","ESA",149335,"Curt",165200,"Armin","Dr. med.","Ord. Professor für Paraplegiologie","MEF"
"39","Daniel, Hans-Dieter","VolkswagenStiftung",70347,"Daniel",201600,"Hans-Dieter","Dr., Ordinarius der ETH","Ord. Professor für Empirische Hochschulforschung","PHF"
"40","Dennerlein, Bettina","swissuniversities",46000,"Dennerlein",220000,"Bettina","Dr.","Ord. Professorin für Gender Studies und Islamwissenschaft","PHF"
"41","Devuyst, Olivier","Cystinosis Research Foundation",57715,"Devuyst",115500,"Olivier","Dr.","Ord. Professor für Physiologie","MEF"
"42","Distler, Oliver","Vontobel-Stiftung",55854,"Distler",167563,"Oliver","Dr. med.","Ord. Professor für Rheumatologie","MEF"
"43","Distler, Oliver","VELUX STIFTUNG",1e+05,"Distler",4e+05,"Oliver","Dr. med.","Ord. Professor für Rheumatologie","MEF"
"44","Distler, Oliver","Balgrist Stiftung",0,"Distler",230000,"Oliver","Dr. med.","Ord. Professor für Rheumatologie","MEF"
"45","Dummer, Reinhard","lnnosuisse",504415,"Dummer",1008831,"Reinhard","Dr. med.","Ord. Professor für Dermatologie","MEF"
"46","Dummer, Reinhard","lnnosuisse",93569,"Dummer",187138,"Reinhard","Dr. med.","Ord. Professor für Dermatologie","MEF"
"47","Dummer, Reinhard","CatalYm GmbH",80000,"Dummer",1e+05,"Reinhard","Dr. med.","Ord. Professor für Dermatologie","MEF"
"48","Dutzler, Raimund","NCCR Schweizerischer Nationalfonds (SNF)",0,"Dutzler",244000,"Raimund","Dr.","Ord. Professor für Biochemie","MEF"
"49","Eberli, Daniel","Gebert Rüf Stiftung",0,"Eberli",298000,"Daniel","Dr. med. Dr. rer. nat.","Ausserord. Professor für Regenerative Urologie","MEF"
"50","Eberli, Daniel","Dr. Angela Reiffer-Stiftung",65000,"Eberli",130000,"Daniel","Dr. med. Dr. rer. nat.","Ausserord. Professor für Regenerative Urologie","MEF"
"51","Ernst, Konrad","Suva",50000,"Ernst",233449,"",NA,NA,"MEF"
"52","Ernst, Konrad","Verein Lunge Zürich",174150,"Ernst",174150,"",NA,NA,"MEF"
"53","Fehr, Ernst","NOMIS Stiftung",173334,"Fehr",520000,"Ernst","Dr. rer. soc. oec.","Ord. Professor für Volkswirtschaftslehre mit den Schwerpunkten Sozialpolitik, Arbeitsmarkt- und Verteilungstheorie","WWF"
"54","Flitsch, Mareile","Verein Missionshaus Bethlehem",3e+05,"Flitsch",5e+05,"Mareile","Dr.","Ord. Professorin für Ethnologie","PHF"
"55","Flück, Martin","Schindler Holding AG",6e+05,"Flück",6e+05,"",NA,NA,"MEF"
"56","Fraefel, Cornel","Bundesamt für Lebensmittelsicherheit und Veterinärwesen BLV",40000,"Fraefel",117417,"Cornel","Dr. sc. nat. ETH","Ord. Professor für Virologie","VSF"
"57","Fraefel, Cornel","Bundesamt für Lebensmittelsicherheit und Veterinärwesen BLV",150000,"Fraefel",183690,"Cornel","Dr. sc. nat. ETH","Ord. Professor für Virologie","VSF"
"58","Freund, Alexandra M.","Northeastern University (NU)",224461,"Freund",226434,"Alexandra M.","Dr.","Ord. Professorin für Entwicklungspsychologie: Erwachsenenalter","PHF"
"59","Gassmann, Max","Monique Dornonville de la Cour - Stiftung",110000,"Gassmann",110000,"Max","Dr. med. vet.","Ord. Professor für Veterinärphysiologie","VSF"
