;Var.1;LastN;Vorname;Titel;Funktion;Fakultät;Lehrveranstaltungen;Var.8;name_ganz
1;NA;Abou-Chadi;Tarik;Dr.;Assistenzprofessor für Politikwissenschaft mit Schwerpunkt Direkte Demokratie und Partizipation;PHF;Link;NA;Abou-Chadi, Tarik
2;NA;Akca;Selin;Dr.;Assistenzprofessorin für Marketing Management;WWF;Link;NA;Akca, Selin
3;NA;Alkadhi;Hatem;Dr. med.;Ausserord. Professor für Notfall-Radiologie;MEF;Link;NA;Alkadhi, Hatem
4;NA;Allemand;Mathias;Dr.;Assistenzprofessor für Differenzielle Gesundheitsforschung des Alters;PHF;Link;NA;Allemand, Mathias
5;NA;Altermatt;Florian;Dr.;Ausserord. Professor für Aquatische Ökologie;MNF;Link;NA;Altermatt, Florian
6;NA;Bach;Dominik;Dr.;Assistenzprofessor für Klinisch psychiatrische Forschung;MEF;Link;NA;Bach, Dominik
7;NA;Bäker;Agnes;Dr.;Assistenzprofessorin für Management Non-Profit-Organisationen (NPO);WWF;Link;NA;Bäker, Agnes
8;NA;Barthelmes;Daniel;Dr. med.;Ausserord. Professor für Ophthalmologie;MEF;Link;NA;Barthelmes, Daniel
9;NA;Bassler;Dirk;Dr.;Ausserord. Professor für Neonatologie;MEF;Link;NA;Bassler, Dirk
10;NA;Basten;Christoph;Dr.;Assistenzprofessor für Banking;WWF;Link;NA;Basten, Christoph
11;NA;Baudis;Michael;Dr. med.;Ausserord. Professor für Bioinformatik;MNF;Link;NA;Baudis, Michael
12;NA;Baumann;Christian;Dr. med.;Ausserord. Professor für Neurologie, insbesondere Parkinson-Erkrankung und Bewegungsstörungen;MEF;Link;NA;Baumann, Christian
13;NA;Bergjan;Silke-Petra;Dr.;Ausserord. Professorin für Kirchen- und Theologiegeschichte von der Alten Kirche bis zur Reformation;THF;Link;NA;Bergjan, Silke-Petra
14;NA;Bettschart-Wolfensberger;Regula;Dr.;Ausserord. Professorin für Veterinäranästhesiologie;VSF;Link;NA;Bettschart-Wolfensberger, Regula
15;NA;Biroli;Pietro;Dr.;Assistenzprofessor für Mikroökonomie;WWF;Link;NA;Biroli, Pietro
16;NA;Bleul;Ulrich T.;Dr. med. vet.;Ausserord. Professor für Fortpflanzungsmedizin mit Schwerpunkt Nutztiere;VSF;Link;NA;Bleul, Ulrich T.
17;NA;Blum;David;Dr.;Assistenzprofessor für Palliativmedizin;MEF;Link;NA;Blum, David
18;NA;Bodenmiller;Bernd;Dr.;Ausserord. Professor für Quantitative Zellbiologie;MNF;Link;NA;Bodenmiller, Bernd
19;NA;Bodis;Stephan;Dr. med.;Ausserord. Professor für Molekulare Strahlenbiologie;MEF;Link;NA;Bodis, Stephan
20;NA;Boente;Walter;Dr.;Assistenzprofessor für Privatrecht mit Schwerpunkt ZGB;RWF;Link;NA;Boente, Walter
21;NA;Borel;Nicole;Dr. med. vet., FVH für Pathologie;Assistenzprofessorin für Infektionspathologie;VSF;Link;NA;Borel, Nicole
22;NA;Boretti Schär;Felicitas;Dr. med. vet.;Assistenzprofessorin für Endokrinologie;VSF;Link;NA;Boretti Schär, Felicitas
23;NA;Borgeat;Alain;Dr. med.;Ausserord. Professor für Anästhesiologie;MEF;Link;NA;Borgeat, Alain
24;NA;Borsig;Lubor;Dr. phil.;Ausserord. Professor für Physiologie mit Schwerpunkt Zellphysiologie und Glykobiologie;MEF;Link;NA;Borsig, Lubor
25;NA;Boyman;Onur;Dr. med.;Ausserord. Professor für Klinische Immunologie;MEF;Link;NA;Boyman, Onur
26;NA;Brandt;Holger;Dr.;Assistenzprofessor für Quantitative Methoden der Intervention und Evaluation;PHF;Link;NA;Brandt, Holger
27;NA;Braun Binder;Nadja;Dr.;Assistenzprofessorin für Öffentliches Recht unter besonderer Berücksichtigung europäischer Demokratiefragen;RWF;Link;NA;Braun Binder, Nadja
28;NA;Brem;Silvia;Dr. sc. nat.;Assistenzprofessorin für Kognitive Neurowissenschaften des Kindes- und Jugendalters;MEF;Link;NA;Brem, Silvia
29;NA;Brenoe;Anne Ardila;Dr.;Assistenzprofessorin für Ökonomik der Kinder- und Jugendentwicklung mit dem Schwerpunkt auf Stillen, Larsson-Rosenquist Stiftungsprofessur für die Ökonomik der Kinder- und Jugendentwicklung mit dem Schwerpunkt auf Stillen;WWF;Link;NA;Brenoe, Anne Ardila
30;NA;Brown;Steven;Dr.;Ausserord. Professor für Chronobiologie und Schlafforschung;MEF;Link;NA;Brown, Steven
31;NA;Bueter;Marco;Dr. med., PhD;Assistenzprofessor für Bariatrische Chirurgie;MEF;Link;NA;Bueter, Marco
32;NA;Camici;Giovanni;Dr.;Assistenzprofessor für Vaskuläre Biologie, Sheikh Khalifa Stiftungsprofessur;MEF;Link;NA;Camici, Giovanni
33;NA;Casaburi;Lorenzo;Dr.;Assistenzprofessor für Entwicklungsökonomie, Stiftungsprofessur;WWF;Link;NA;Casaburi, Lorenzo
34;NA;Chahwan;Richard;Dr.;Assistenzprofessor für Klinische Tumorimmunologie;MEF;Link;NA;Chahwan, Richard
35;NA;Chen;Hui;Dr.;Ausserord. Professorin für Financial Accounting;WWF;Link;NA;Chen, Hui
36;NA;Clauss;Marcus;Dr.;Ausserord. Professor für Vergleichende Verdauungsphysiologie, Ernährung und Biologie von Zoo-, Heim- und Wildtieren;VSF;Link;NA;Clauss, Marcus
37;NA;Damm-Reiser;Alexander;Dr. rer. nat.;Assistenzprofessor für Fernerkundung von Wassersystemen;MNF;Link;NA;Damm-Reiser, Alexander
38;NA;Davidov;Eldad;Dr.;Ausserord. Professor für Soziologie;PHF;Link;NA;Davidov, Eldad
39;NA;De Benito Moreno;Carlota;Dr.;Assistenzprofessorin für Sprache und Raum in der Iberoromania;PHF;Link;NA;De Benito Moreno, Carlota
40;NA;de Oliveira;Eduardo Jorge;Dr.;Assistenzprofessor für Brasilianistik (Literatur, Kultur, Medien);PHF;Link;NA;de Oliveira, Eduardo Jorge
41;NA;Dellwo;Volker;Dr.;Ausserord. Professor für Phonetik;PHF;Link;NA;Dellwo, Volker
42;NA;Derks;Annuska;Dr.;Assistenzprofessorin für Allgemeine Ethnologie mit Schwerpunkt Soziale Transformationsprozesse;PHF;Link;NA;Derks, Annuska
43;NA;Dommann;Monika;Dr.;Ausserord. Professorin für Geschichte der Neuzeit;PHF;Link;NA;Dommann, Monika
44;NA;Dressel;Holger;Dr.;Assistenzprofessor für Arbeits- und Umweltmedizin;MEF;Link;NA;Dressel, Holger
